nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
13099,A,Émile-Journault P6 Ex.2 voie 1,AB-AC-AD-AE,-73.636257033350347000,45.553298244413554000,Régulier Payez-Partez
13100,A,Greene,AB-AC-AD-AE,-73.577323672654330000,45.479464956128268000,Régulier Payez-Partez
13101,A,Saint-Hubert,AB-AC-AD-AE,-73.644140009548522000,45.551814877880297000,Régulier Payez-Partez
13102,A,Saint-Hubert,AB-AC-AD-AE,-73.641026941915101000,45.550935876003329000,Régulier Payez-Partez
13103,A,Émile-Journault,AB-AC-AD-AE,-73.639740246909469000,45.551590098322364000,Régulier Payez-Partez
13104,A,Émile-Journault,AB-AC-AD-AE,-73.638678227067686000,45.553447799162676000,Régulier Payez-Partez
13105,A,Émile-Journault,AB-AC-AD-AE,-73.638624278656152000,45.553087166818635000,Régulier Payez-Partez
13106,A,Émile-Journault,AB-AC-AD-AE,-73.637546706008692000,45.554991022215411000,Régulier Payez-Partez
13107,A,Saint-Laurent,AB-AC-AD-AE,-73.671092917425412000,45.550486622924595000,Régulier Payez-Partez
13108,A,Henri-Bourassa,AB-AC-AD-AE,-73.668805997395893000,45.553780289183258000,Régulier Payez-Partez
13109,A,Lajeunesse,AB-AC-AD-AE,-73.666527951626975000,45.554660004249342000,Régulier Payez-Partez
13110,A,Rosemont,AB-AC-AD-AE,-73.597840638484158000,45.531928105881107000,Régulier Payez-Partez
13111,A,Beaubien,AB-AC-AD-AE,-73.600823088162329000,45.538459738990596000,Régulier Payez-Partez
13112,A,Beaubien,AB-AC-AD-AE,-73.600392462222217000,45.539194013179412000,Régulier Payez-Partez
13113,A,Beaubien,AB-AC-AD-AE,-73.599592592445234000,45.539827761293843000,Régulier Payez-Partez
13114,A,Beaubien,AB-AC-AD-AE,-73.599089066863655000,45.540645583095113000,Régulier Payez-Partez
13115,A,Beaubien,AB-AC-AD-AE,-73.598300495295049000,45.541250632047564000,Régulier Payez-Partez
13116,A,Beaubien,AB-AC-AD-AE,-73.598345264474958000,45.541485104080891000,Régulier Payez-Partez
13117,A,Beaubien,AB-AC-AD-AE,-73.597237354869890000,45.542399123224456000,Régulier Payez-Partez
13118,A,Beaubien,AB-AC-AD-AE,-73.596832131366398000,45.543077245867188000,Régulier Payez-Partez
